date,text,img_path
23 Nov 23,"JUST ANOTHER DAY
Reuben Mardan
6C
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/JUST_ANOTHER_DAY.png
23 Nov 23,"ARIGGARI
KoalaClimbing
6C
Feet follow hands
You rated this problem
3rd try
40° MoonBoard
matched",./images/ARIGGARI.png
23 Nov 23,"BANANARAMA
Blake Lehmans
6C. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/BANANARAMA.png
23 Nov 23,"ACG30
bkkim
6C. You graded this problem 6C.
Feet follow hands
You rated this problem
2nd try
40° MoonBoard",./images/ACG30.png
21 Nov 23,"FAR FROM THE MADDING CROWD
Ben Moon
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/FAR_FROM_THE_MADDING_CROWD.png
21 Nov 23,"AL A GAIT OR?
mattw
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/AL_A_GAIT_OR?.png
21 Nov 23,"BUTOLOGIA
nicholas farenzena
6C
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/BUTOLOGIA.png
21 Nov 23,"ASTRO CREEP
Jonny Summers
6B+
Feet follow hands
You rated this problem
More than 3 tries (30)
40° MoonBoard",./images/ASTRO_CREEP.png
16 Nov 23,"7STÖCKE
gert Lerchster
6B+
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/7STÖCKE.png
16 Nov 23,"BURNING SENDERS
alvaro rangel
6B+
Feet follow hands
Project
40° MoonBoard
2",./images/BURNING_SENDERS.png
16 Nov 23,"ASTRO CREEP
Jonny Summers
6B+
Feet follow hands
Project
40° MoonBoard
2",./images/ASTRO_CREEP.png
16 Nov 23,"WHAAAAT
Michael Montella
6C. You graded this problem 6B+.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/WHAAAAT.png
16 Nov 23,"HOLD THE SWING
Duncan Brown
6C. You graded this problem 6C.
Feet follow hands
You rated this problem
Flashed
40° MoonBoard",./images/HOLD_THE_SWING.png
16 Nov 23,"LOW CARB VAR
Ben Moon
6C
Feet follow hands
Project
40° MoonBoard
2",./images/LOW_CARB_VAR.png
16 Nov 23,"BUTOLOGIA
nicholas farenzena
6C
Feet follow hands
Project
40° MoonBoard
3",./images/BUTOLOGIA.png
14 Nov 23,"AMPHORA
Riccardo Caprasecca
6B+
Feet follow hands
You rated this problem
3rd try
40° MoonBoard",./images/AMPHORA.png
