date,ename,ereps,kg,duration
2023-12-02,deadlift,4,130.0,32.7
2023-12-02,deadlift,4,130.0,34.3
2023-12-02,deadlift,4,130.0,30.0
2023-12-02,deadlift,4,130.0,30.0
2023-12-02,deadlift,4,130.0,30.0
2023-12-02,deadlift,4,130.0,30.0
2023-11-30,weighted pull up,3,107.0,23.756
2023-11-30,weighted pull up,4,107.0,39.679
2023-11-30,weighted pull up,3,107.0,99.977
2023-11-30,benchpress,9,40.0,113.0
2023-11-30,HB: SC 20mm,1,103.0,10.0
2023-11-30,benchpress,5,50.0,44.1
2023-11-30,benchpress,4,60.0,30.0
2023-11-30,benchpress,4,60.0,51.4
2023-11-30,HB: SC 20mm,1,103.0,10.0
2023-11-30,benchpress,4,60.0,50.4
2023-11-30,benchpress,4,60.0,105.5
2023-11-30,HB: IMR 20mm,1,86.0,10.0
2023-11-30,benchpress,4,60.0,67.0
2023-11-30,HB: IMR 20mm,1,86.0,10.0
2023-11-30,HB: SC 20mm,1,103.0,10.0
2023-11-30,HB: IMR 20mm,1,86.0,10.0
2023-11-30,HB: SC 20mm,10,105.0,30.0
2023-11-30,HB: IMR 20mm,10,85.0,30.0
2023-11-30,HB: SC 20mm,10,103.75,30.0
2023-11-30,benchpress,4,60.0,30.0
2023-11-30,benchpress,5,60.0,30.0
2023-11-30,benchpress,4,60.0,30.0
2023-11-30,HB: IMR 20mm,10,85.0,30.0
2023-11-30,HB: IMR 20mm,10,86.25,30.0
2023-11-30,HB: SC 20mm,10,102.5,30.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-29,HB: IMR 20mm,1,62.0,10.0
2023-11-28,deadlift,3,130.0,30.0
2023-11-28,deadlift,4,80.0,249.5
2023-11-28,HB: IMR 20mm,1,86.0,20.3
2023-11-28,deadlift,1,128.0,17.0
2023-11-28,HB: IMR 20mm,1,86.0,16.8
2023-11-28,deadlift,1,128.0,2.8
2023-11-28,HB: SC 20mm,10,103.5,30.0
2023-11-28,deadlift,1,128.0,49.9
2023-11-28,HB: SC 20mm,1,102.5,10.0
2023-11-28,HB: IMR 20mm,1,86.0,17.5
2023-11-28,HB: SC 20mm,1,102.5,10.0
2023-11-28,HB: IMR 20mm,4,87.5,30.0
2023-11-28,HB: IMR 20mm,10,86.75,30.0
2023-11-28,HB: IMR 20mm,10,85.0,30.0
2023-11-28,HB: SC 20mm,10,102.5,30.0
2023-11-28,deadlift,1,130.0,30.0
2023-11-28,HB: SC 20mm,10,103.5,30.0
